code,code_description
D469,"Myelodysplastic syndrome, unspecified"
D589,"Hereditary hemolytic anemia, unspecified"
D591,Other autoimmune hemolytic anemias
D598,Other acquired hemolytic anemias
D599,"Acquired hemolytic anemia, unspecified"
D600,Chronic acquired pure red cell aplasia
D608,Other acquired pure red cell aplasias
D609,"Acquired pure red cell aplasia, unspecified"
D6109,Other constitutional aplastic anemia
D611,Drug-induced aplastic anemia
D612,Aplastic anemia due to other external agents
D613,Idiopathic aplastic anemia
D61818,Other pancytopenia
D6189,Oth aplastic anemias and other bone marrow failure syndromes
D619,"Aplastic anemia, unspecified"
D693,Immune thrombocytopenic purpura
R823,Hemoglobinuria
